country,id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Bosnia and Herzegovina,070,,,,,,,,,,,,,,,,,3584000000,4578000000,5281000000,5766000000,5568000000,5801000000,6728000000,8499000000,10157000000,11223000000,12865000000,15779000000,19113000000,17614000000,17176000000,18644000000,17227000000,18179000000,18559000000,16404000000,17117000000,18326000000,20484000000,20483000000,20226000000,23673000000,24535000000,27592000000,28795000000,28807000000,30214000000,31730000000,33328000000,35019000000,36788000000
Botswana,072,1174000000,1037000000,1094000000,1208000000,1200000000,1117000000,1515000000,2374000000,3082000000,3441000000,3799000000,3802000000,3928000000,3957000000,4258000000,4805000000,4926000000,5011000000,4808000000,5413000000,5682000000,5460000000,5395000000,7469000000,8819000000,9833000000,9919000000,10566000000,10731000000,10118000000,12637000000,15111000000,13907000000,14272000000,15470000000,13531000000,15083000000,16105000000,17032000000,16696000000,14930000000,18750000000,20321000000,19411000000,19356000000,19400000000,20951000000,22347000000,24148000000,26371000000,28591000000
Brazil,076,145819000000,167583000000,179166000000,143652000000,142957000000,226938000000,263256000000,286539000000,320105000000,439434000000,455335000000,399249000000,382465000000,429184000000,546764000000,770860000000,851146000000,883862000000,864307000000,599642000000,655454000000,559982000000,509798000000,558232000000,669290000000,891633000000,1107628000000,1397114000000,1695855000000,1669204000000,2208704000000,2614027000000,2464053000000,2471718000000,2456055000000,1800046000000,1796622000000,2063519000000,1916934000000,1873286000000,1476092000000,1670650000000,1951849000000,2191137000000,2171337000000,2125958000000,2186983000000,2297360000000,2414121000000,2542873000000,2679565000000
Brunei Darussalam,096,,,,,,5470000000,3727000000,4384000000,4177000000,4652000000,5574000000,5949000000,6256000000,6327000000,6795000000,8098000000,8156000000,7974000000,6061000000,6544000000,6650000000,6206000000,6475000000,7266000000,8723000000,10561000000,12710000000,13571000000,15949000000,11892000000,13707000000,18525000000,19048000000,18094000000,17098000000,12930000000,11400000000,12128000000,13567000000,13469000000,12006000000,14006000000,16682000000,15095000000,15463000000,16007000000,16656000000,17532000000,18434000000,19636000000,20663000000
Bulgaria,100,37751000000,40718000000,42467000000,43641000000,46358000000,39692000000,35130000000,40721000000,66546000000,67774000000,29882000000,2928000000,11882000000,6449000000,11338000000,18992000000,12295000000,11317000000,15031000000,13628000000,13246000000,14183000000,16403000000,21146000000,26158000000,29868000000,34380000000,44432000000,54476000000,52024000000,50690000000,57682000000,54297000000,55820000000,57081000000,50766000000,53929000000,59288000000,66318000000,68639000000,70658000000,84477000000,90719000000,102434000000,112232000000,117007000000,123066000000,129562000000,136128000000,143103000000,150310000000
Burkina Faso,854,2386000000,2076000000,1934000000,1767000000,1579000000,1746000000,2290000000,2665000000,2942000000,2942000000,3488000000,3526000000,3775000000,3599000000,2164000000,2676000000,2909000000,2753000000,3155000000,3388000000,2961000000,3190000000,3620000000,4740000000,5449000000,6150000000,6548000000,7627000000,9450000000,9440000000,10118000000,12078000000,12569000000,13444000000,13947000000,11833000000,12829000000,14094000000,15916000000,16092000000,17837000000,19747000000,19588000000,21181000000,23975000000,27056000000,29624000000,31525000000,33834000000,36393000000,39097000000
Burundi,108,951000000,989000000,1045000000,1106000000,1005000000,1170000000,1233000000,1161000000,1088000000,1131000000,1131000000,1167000000,1082000000,938000000,924000000,1000000000,868000000,972000000,893000000,866000000,870000000,877000000,825000000,785000000,915000000,1117000000,1273000000,1356000000,1612000000,1775000000,2032000000,2236000000,2333000000,2456000000,2706000000,3104000000,2960000000,3172000000,3037000000,3009000000,3089000000,3356000000,3922000000,4246000000,4743000000,6745000000,8419000000,9244000000,9738000000,9917000000,10622000000
Cabo Verde,132,157000000,187000000,149000000,144000000,146000000,164000000,212000000,264000000,322000000,332000000,413000000,443000000,479000000,431000000,450000000,570000000,611000000,609000000,648000000,693000000,699000000,791000000,867000000,1105000000,1263000000,1395000000,1452000000,1650000000,1960000000,1852000000,1825000000,2047000000,1913000000,2029000000,2042000000,1750000000,1850000000,1997000000,2205000000,2251000000,1831000000,2053000000,2309000000,2588000000,2726000000,2786000000,2979000000,3190000000,3410000000,3647000000,3890000000
Cambodia,116,,,,,,,205000000,141000000,276000000,346000000,898000000,2007000000,2435000000,2422000000,2760000000,3430000000,3509000000,3462000000,3132000000,3522000000,3707000000,4154000000,4507000000,5054000000,5879000000,7058000000,8342000000,10117000000,12162000000,12490000000,13796000000,16017000000,17829000000,19806000000,22040000000,24217000000,26591000000,29394000000,33181000000,36682000000,34898000000,36797000000,39838000000,43304000000,47328000000,49799000000,53055000000,56857000000,61248000000,66025000000,71242000000
Cameroon,120,8850000000,10026000000,9616000000,9692000000,10243000000,10698000000,13945000000,16152000000,16403000000,14626000000,14641000000,16325000000,14963000000,15611000000,10622000000,10075000000,11227000000,11352000000,11338000000,11553000000,10245000000,10950000000,12369000000,15944000000,18803000000,19534000000,20912000000,23931000000,27712000000,27903000000,27530000000,30626000000,30174000000,33729000000,36396000000,32213000000,33805000000,36086000000,39992000000,39673000000,40863000000,45036000000,44442000000,49283000000,52784000000,56011000000,60213000000,64485000000,69281000000,74447000000,80028000000
